seq	kingdom	phylum	class	order	family	genus	species
seq_6691	1.00	0.12	0.11	0.04	0.03	0.01	0.01
seq_6692	1.00	0.95	0.88	0.41	0.13	0.13	0.13
seq_6694	0	NA	NA	NA	NA	NA	NA
seq_6697	1.00	1.00	0.93	0.36	0.36	0.36	0.35
seq_6693	1.00	0.32	0.25	0.25	0.25	0.25	0.25
seq_6696	1.00	0.57	0.36	0.34	0.34	0.34	0.34
seq_6699	1.00	1.00	1.00	0.81	0.81	0.81	0.74
seq_6698	1.00	0.26	0.22	0.09	0.04	0.01	0.01
seq_6700	1.00	0.40	0.38	0.15	0.04	0.04	0.02
seq_6702	1.00	0.23	0.23	0.20	0.09	0.03	0.03
seq_6706	1.00	0.53	0.32	0.13	0.02	0.02	0.02
seq_6704	1.00	0.64	0.49	0.13	0.03	0.01	0.01
seq_6705	1.00	0.70	0.60	0.12	0.02	0.02	0.02
seq_6701	1.00	1.00	1.00	1.00	1.00	1.00	0.91
seq_6709	1.00	0.35	0.32	0.13	0.03	0.01	0.01
seq_6708	1.00	0.88	0.88	0.75	0.61	0.46	0.46
seq_6710	1.00	0.90	0.13	0.04	0.02	0.01	0.01
seq_6712	1.00	1.00	0.70	0.22	0.22	0.22	0.11
seq_6715	1.00	0.90	0.27	0.19	0.18	0.10	0.03
seq_6714	1.00	0.63	0.63	0.45	0.11	0.11	0.04
seq_6713	1.00	0.05	0.05	0.05	0.05	0.05	0.01
seq_6711	1.00	1.00	1.00	1.00	1.00	1.00	0.71
seq_6719	1.00	0.91	0.39	0.25	0.25	0.20	0.20
seq_6716	1.00	1.00	0.71	0.44	0.44	0.44	0.17
seq_2115	0	NA	NA	NA	NA	NA	NA
seq_6718	1.00	0.92	0.45	0.40	0.37	0.37	0.37
seq_2114	0	NA	NA	NA	NA	NA	NA
seq_2116	1.00	0.58	0.58	0.18	0.18	0.18	0.10
seq_6720	1.00	0.36	0.36	0.12	0.12	0.10	0.10
seq_2117	1.00	0.73	0.35	0.17	0.17	0.17	0.04
seq_6722	1.00	1.00	1.00	1.00	1.00	1.00	0.89
seq_6723	1.00	0.77	0.77	0.26	0.03	0.03	0.03
seq_6725	1.00	0.96	0.66	0.61	0.39	0.35	0.26
seq_6726	1.00	0.99	0.95	0.88	0.47	0.06	0.06
seq_6727	1.00	0.42	0.15	0.02	0.02	0.02	0.02
seq_6724	1.00	0.99	0.99	0.98	0.98	0.98	0.90
seq_6728	1.00	0.60	0.59	0.29	0.01	0.01	0.01
seq_6729	1.00	1.00	1.00	0.96	0.92	0.87	0.02
seq_6733	0	NA	NA	NA	NA	NA	NA
seq_6730	1.00	0.82	0.82	0.80	0.74	0.74	0.41
seq_6731	1.00	0.85	0.85	0.66	0.19	0.19	0.17
seq_6732	1.00	1.00	1.00	1.00	1.00	1.00	0.45
seq_6736	1.00	0.99	0.95	0.86	0.43	0.19	0.02
seq_6735	1.00	0.51	0.35	0.05	0.05	0.01	0.01
seq_6737	1.00	0.90	0.12	0.04	0.04	0.04	0.02
seq_6739	0	NA	NA	NA	NA	NA	NA
seq_6742	0	NA	NA	NA	NA	NA	NA
seq_6740	1.00	0.91	0.45	0.26	0.06	0.06	0.04
seq_6741	1.00	0.50	0.50	0.44	0.04	0.04	0.04
seq_6743	1.00	0.83	0.60	0.50	0.03	0.02	0.02
seq_6744	1.00	0.60	0.58	0.23	0.01	0.01	0.01
seq_6748	0	NA	NA	NA	NA	NA	NA
seq_6747	1.00	0.46	0.04	0.04	0.04	0.04	0.04
seq_6746	1.00	0.53	0.53	0.38	0.06	0.06	0.01
seq_6745	1.00	0.91	0.55	0.43	0.26	0.18	0.18
seq_6751	1.00	0.94	0.24	0.02	0.02	0.02	0.02
seq_6754	1.00	0.96	0.19	0.13	0.04	0.04	0.04
seq_6756	1.00	0.91	0.01	0.01	0.01	0.01	0.01
seq_6757	1.00	0.89	0.21	0.07	0.03	0.03	0.03
